	Run number	id	datetime	env_humidity	env_temp	tf_temp1	tf_temp2	tf_temp3	cylinder1_temp	cylinder2_temp	ir_phase_angle	speed	IR %	Temp cyl1	Temp cyl2	Pressure	active_power_p1	active_power_p2	active_power_p3	total_active_power	Humidity	Weight after drying	Drying time	CA_absorbed	Burnt	Shrinkage
213	1	22135	2019-10-22 15:43:02	41.8	25.93	35.57	73.92	108.12	1730	1795	17875	2.2	65	173.0	179.5	2.0	304.95	-6259.41	3175.71	-2778.75	0.16	16.82	0.0	0.7593052595	0.0	-69.0
214	1	22136	2019-10-22 15:43:07	41.8	25.93	37.35	71.08	100.39	1730	1795	17875	2.2	65	173.0	179.5	2.0	290.49	-6251.52	3174.39	-2786.64	0.16	16.82	0.0	0.7593052595	0.0	-69.0
215	1	22137	2019-10-22 15:43:13	41.8	25.93	39.65	68.53	95.46	1722	1788	17875	2.2	65	172.2	178.8	2.0	308.89	-6235.75	3170.45	-2749.83	0.16	16.82	0.0	0.7593052595	0.0	-69.0
216	1	22138	2019-10-22 15:43:18	41.8	25.93	42.28	67.0	93.16	1722	1788	17875	2.2	65	172.2	178.8	2.0	291.8	-6242.32	3174.39	-2780.08	0.16	16.82	0.0	0.7593052595	0.0	-69.0
217	1	22139	2019-10-22 15:43:23	41.8	26.0	43.92	66.21	91.67	1719	1787	17875	2.2	65	171.9	178.7	2.0	297.06	-6238.38	3186.22	-2755.1	0.16	16.82	0.0	0.7593052595	0.0	-69.0
218	1	22140	2019-10-22 15:43:28	41.9	26.0	45.25	65.53	90.67	1714	1780	17875	2.2	65	171.4	178.0	2.0	312.83	-6233.12	3177.02	-2752.47	0.16	16.82	0.0	0.7593052595	0.0	-69.0
219	1	22141	2019-10-22 15:43:33	41.8	26.0	46.31	65.69	89.72	1714	1780	17875	2.2	65	171.4	178.0	2.0	304.95	-6242.32	3183.6	-2753.77	0.16	16.82	0.0	0.7593052595	0.0	-69.0
220	1	22142	2019-10-22 15:43:38	41.8	26.0	46.88	66.54	88.46	1712	1777	17875	2.2	65	171.2	177.7	2.0	315.46	-6243.64	3195.43	-2744.58	0.16	16.82	0.0	0.7593052595	0.0	-69.0
221	1	22143	2019-10-22 15:43:43	41.9	26.0	47.49	70.13	90.14	1712	1777	17875	2.2	65	171.2	177.7	2.0	318.09	-6254.15	3195.43	-2740.63	0.16	16.82	0.0	0.7593052595	0.0	-69.0
222	1	22144	2019-10-22 15:43:48	41.8	26.06	49.14	68.15	92.63	1709	1772	17875	2.2	65	170.9	177.2	2.0	314.15	-6263.35	3188.85	-2760.35	0.16	16.82	0.0	0.7593052595	0.0	-69.0
