VarName,Date,Screw speed,Pressure,Barrel temp - zone1,Mould temperature,Extraction temperature,Cooling time,Holding time,Cycle time,Sinks,TOT - Energy cons.,Schrinkage,Piece weight
1,04/05/2021 14:26:2,150.2,1.8,180.0,56.9,84.4,38.1,5.1,45.2,0,25.9,2.77,83.12
2,04/05/2021 14:26:5,150.1,2.3,179.2,61.6,88.0,39.9,4.7,46.5,1,27.2,2.03,83.09
3,04/05/2021 14:26:8,149.8,1.8,183.7,53.5,79.0,36.5,3.6,42.1,0,25.4,2.88,82.90
4,04/05/2021 14:26:11,150.1,2.1,179.9,58.9,88.6,38.9,4.1,44.9,0,26.8,2.36,82.89
5,04/05/2021 14:26:14,150.1,2.0,182.7,52.3,79.1,31.8,4.9,38.6,0,25.4,2.52,82.76
6,04/05/2021 14:26:17,150.1,1.9,186.1,59.7,85.0,41.4,3.4,46.8,0,26.9,2.77,82.84
7,04/05/2021 14:26:20,150.0,1.8,185.7,39.0,68.4,39.2,4.1,45.4,0,23.1,2.79,83.42
8,04/05/2021 14:26:23,150.1,2.2,182.9,40.0,67.2,42.5,2.3,46.9,0,23.2,2.22,83.11
9,04/05/2021 14:26:26,150.1,2.1,186.9,55.3,84.6,41.4,2.8,46.2,0,26.8,2.45,82.73
10,04/05/2021 14:26:29,149.8,2.2,178.2,51.5,77.2,40.3,4.2,46.5,0,24.8,2.24,83.14
11,04/05/2021 14:26:32,150.0,1.9,180.7,56.2,82.0,40.1,3.7,45.8,0,25.8,2.67,83.07
12,04/05/2021 14:26:35,150.1,2.1,173.1,56.8,85.8,41.4,3.5,46.9,0,25.6,2.31,82.80
13,04/05/2021 14:26:38,150.1,2.0,177.5,48.6,75.7,39.3,5.6,46.9,0,24.2,2.48,82.85
14,04/05/2021 14:26:41,150.1,2.1,176.5,53.5,81.6,40.2,3.6,45.8,0,25.2,2.33,83.02
15,04/05/2021 14:26:44,150.0,1.7,185.0,55.3,82.0,40.7,3.2,45.9,0,25.9,3.04,82.90
16,04/05/2021 14:26:47,150.0,2.0,188.6,43.2,70.1,44.7,3.2,50.0,0,24.2,2.52,82.92
17,04/05/2021 14:26:50,149.8,2.2,183.3,45.1,73.9,37.2,4.7,43.9,0,24.4,2.24,83.22
18,04/05/2021 14:26:53,149.8,2.2,175.0,51.6,76.7,39.2,2.9,44.1,0,24.6,2.10,82.91
19,04/05/2021 14:26:56,150.0,1.9,181.1,53.6,80.4,39.2,4.4,45.7,0,25.4,2.65,83.02
20,04/05/2021 14:26:59,149.9,2.1,180.0,42.3,67.6,42.2,3.5,47.7,0,23.1,2.38,83.62
21,04/05/2021 14:27:2,150.0,2.0,189.6,51.7,78.0,43.1,3.9,49.0,0,25.9,2.60,83.01
22,04/05/2021 14:27:5,150.1,1.9,177.7,58.6,84.4,39.0,4.0,45.0,0,25.9,2.66,82.93
23,04/05/2021 14:27:8,149.9,2.1,180.8,56.2,84.5,39.9,3.7,45.6,0,26.2,2.43,82.71
24,04/05/2021 14:27:11,150.0,1.7,180.2,49.3,77.0,44.4,3.0,49.5,0,24.4,2.91,82.61
25,04/05/2021 14:27:14,150.0,2.0,179.1,56.1,84.0,45.2,5.2,52.4,0,25.9,2.47,83.04
26,04/05/2021 14:27:17,150.0,2.1,183.7,51.0,78.9,39.3,5.6,46.8,0,25.4,2.43,82.86
27,04/05/2021 14:27:20,150.1,2.3,174.6,43.5,69.4,42.3,5.5,49.8,0,23.1,1.92,82.65
28,04/05/2021 14:27:23,150.0,1.6,184.9,53.2,82.8,39.4,3.2,44.6,0,25.7,3.17,82.91
29,04/05/2021 14:27:26,150.2,1.8,170.3,45.5,74.5,34.5,5.3,41.8,0,22.8,2.76,82.96
30,04/05/2021 14:27:29,150.1,2.3,179.4,54.9,81.6,45.2,3.9,51.1,0,25.9,2.03,82.96
31,04/05/2021 14:27:32,149.9,1.9,182.7,55.3,80.4,40.1,5.2,47.3,0,25.7,2.68,83.24
32,04/05/2021 14:27:35,150.0,1.8,176.8,53.1,80.9,38.7,3.6,44.3,0,24.9,2.82,83.01
