VarName	Date	Screw speed	Pressure	Barrel temp - zone1	Mould temperature	Extraction temperature	Cooling time	Holding time	Cycle time	Sinks	TOT - Energy cons.	Schrinkage	Piece weight
1	09/05/2021 4:29:17	150.0	1.9	186.8	54.8	81.8	37.5	4.9	44.5	0	26.2	2.78	84.47
2	09/05/2021 4:29:20	150.0	2.2	178.1	42.7	72.2	39.9	2.9	44.9	0	23.5	2.23	81.45
3	09/05/2021 4:29:23	149.9	2.3	176.2	69.9	95.4	38.3	4.3	44.6	1	28.4	2.0	85.14
4	09/05/2021 4:29:26	150.1	2.0	179.2	46.5	72.5	40.3	4.9	47.2	0	23.8	2.46	83.57
5	09/05/2021 4:29:29	150.0	1.9	185.0	68.5	94.3	40.6	3.1	45.7	1	28.7	2.7	83.27
6	09/05/2021 4:29:32	150.0	1.9	173.7	38.5	67.6	41.1	4.9	47.9	0	21.8	2.66	82.74
7	09/05/2021 4:29:35	150.0	1.9	186.0	46.4	73.2	35.5	3.1	40.6	0	24.5	2.71	81.85
8	09/05/2021 4:29:38	150.1	2.2	183.1	50.7	78.3	44.2	4.1	50.3	0	25.4	2.2	83.21
9	09/05/2021 4:29:41	149.8	2.2	183.6	59.9	89.7	44.0	3.1	49.1	0	27.6	2.16	82.75
10	09/05/2021 4:29:44	150.1	1.9	182.2	43.8	69.2	39.2	3.9	45.1	0	23.4	2.72	82.38
11	09/05/2021 4:29:47	149.9	2.1	176.2	60.4	89.2	44.2	4.8	51.0	1	26.7	2.24	84.91
12	09/05/2021 4:29:50	150.1	1.7	174.2	58.0	87.2	40.3	4.6	46.9	0	25.6	2.93	84.4
13	09/05/2021 4:29:53	149.9	1.9	183.3	57.9	85.6	37.1	3.0	42.0	0	26.5	2.74	82.4
14	09/05/2021 4:29:56	150.2	2.0	180.2	52.2	81.7	35.2	5.0	42.2	0	25.4	2.57	84.21
15	09/05/2021 4:29:59	150.0	2.4	183.5	39.5	64.6	38.9	5.0	45.9	0	23.1	1.95	82.98
16	09/05/2021 4:30:2	150.0	2.2	182.6	52.6	81.2	44.3	0.9	47.2	1	25.8	2.28	79.81
17	09/05/2021 4:30:5	149.8	2.1	176.9	47.9	77.0	41.6	3.0	46.6	0	24.3	2.29	81.87
18	09/05/2021 4:30:8	150.0	1.7	174.7	46.7	76.1	39.5	4.0	45.6	0	23.5	2.84	82.73
19	09/05/2021 4:30:11	150.1	2.0	180.1	47.1	75.9	37.8	4.8	44.6	0	24.3	2.45	83.57
20	09/05/2021 4:30:14	149.9	2.2	184.9	67.0	95.0	35.6	3.4	41.1	1	28.9	2.18	83.61
21	09/05/2021 4:30:17	150.0	1.6	181.4	52.6	79.4	42.0	2.8	46.8	1	24.9	3.12	81.89
22	09/05/2021 4:30:20	150.0	2.0	182.4	47.2	72.6	41.1	2.8	46.0	0	24.2	2.58	81.62
23	09/05/2021 4:30:23	149.8	2.3	177.0	45.6	70.7	40.8	3.3	46.1	0	23.6	2.09	81.93
24	09/05/2021 4:30:26	150.1	2.0	175.2	44.4	72.5	42.7	4.2	48.9	0	23.2	2.41	82.68
25	09/05/2021 4:30:29	150.0	2.1	174.7	46.3	74.6	35.3	5.6	43.0	0	23.7	2.26	84.23
26	09/05/2021 4:30:32	149.9	1.8	174.5	39.0	65.4	44.6	2.7	49.2	0	21.6	2.8	81.0
27	09/05/2021 4:30:35	150.0	2.1	175.8	57.2	83.0	37.1	2.1	41.1	1	25.7	2.31	81.3
28	09/05/2021 4:30:38	149.9	1.7	180.3	52.9	81.0	39.0	2.3	43.2	1	25.2	2.91	81.33
29	09/05/2021 4:30:41	149.9	1.9	184.3	60.9	89.9	35.8	4.7	42.6	1	27.4	2.71	84.84
30	09/05/2021 4:30:44	150.1	2.2	176.4	48.9	77.4	36.0	2.0	40.0	0	24.4	2.22	80.88
31	09/05/2021 4:30:47	150.1	2.4	185.0	50.5	79.2	38.6	3.1	43.7	0	25.9	1.96	82.08
32	09/05/2021 4:30:50	150.0	2.0	186.2	46.5	74.4	35.4	4.4	41.8	0	24.7	2.57	83.14
33	09/05/2021 4:30:53	150.0	2.2	184.4	53.4	82.6	37.5	4.3	43.9	0	26.2	2.24	83.67
34	09/05/2021 4:30:56	149.9	1.8	182.2	46.7	76.7	39.7	2.1	43.9	0	24.3	2.84	80.93
35	09/05/2021 4:30:59	150.0	2.0	179.1	53.3	82.8	42.6	4.2	48.8	0	25.6	2.45	83.47
36	09/05/2021 4:31:2	149.9	1.8	183.0	51.3	76.8	39.4	2.7	44.2	0	24.9	2.81	81.74
37	09/05/2021 4:31:5	150.1	1.7	185.7	48.2	75.2	42.3	5.9	50.2	0	24.7	2.94	84.73
38	09/05/2021 4:31:8	150.0	2.0	172.7	44.9	74.0	35.0	2.3	39.4	0	23.2	2.42	81.04
39	09/05/2021 4:31:11	150.1	2.0	178.7	39.4	68.0	38.8	2.8	43.6	0	22.6	2.5	81.15
40	09/05/2021 4:31:14	149.9	2.0	181.1	62.5	90.5	38.9	3.5	44.5	1	27.4	2.52	83.46
41	09/05/2021 4:31:17	150.0	2.1	177.9	49.3	74.6	47.5	2.5	52.0	0	24.3	2.33	81.39
42	09/05/2021 4:31:20	150.0	1.9	177.3	51.1	81.0	41.0	3.7	46.7	0	24.9	2.56	82.8
43	09/05/2021 4:31:23	149.9	1.9	179.1	56.2	84.5	33.2	5.6	40.8	0	25.9	2.62	85.41
44	09/05/2021 4:31:26	150.0	2.0	179.7	50.1	77.2	43.8	3.8	49.6	0	24.7	2.44	82.85
45	09/05/2021 4:31:29	150.2	1.9	183.9	49.6	78.7	42.1	3.9	48.0	0	25.2	2.63	82.88
46	09/05/2021 4:31:32	149.9	1.8	177.5	52.4	77.5	42.4	5.5	50.0	0	24.6	2.77	84.88
47	09/05/2021 4:31:35	149.9	2.0	180.1	58.8	85.8	48.3	2.6	52.9	0	26.4	2.54	82.02
48	09/05/2021 4:31:38	150.1	2.0	174.8	47.3	75.5	39.9	3.7	45.6	0	23.8	2.43	82.48
49	09/05/2021 4:31:41	149.9	1.9	178.0	52.5	80.7	40.4	3.8	46.2	0	25.1	2.57	82.96
50	09/05/2021 4:31:44	150.0	2.1	178.8	36.4	63.1	33.4	4.2	39.6	0	22.0	2.3	82.03
51	09/05/2021 4:31:47	150.1	2.1	174.3	47.9	76.2	37.9	3.0	42.8	0	24.0	2.25	81.79
52	09/05/2021 4:31:50	150.1	2.0	176.6	39.8	69.3	43.5	5.2	50.7	0	22.6	2.43	83.11
53	09/05/2021 4:31:53	150.0	2.0	187.8	44.9	73.9	39.5	4.1	45.6	0	24.7	2.59	82.65
54	09/05/2021 4:31:56	149.9	2.0	176.6	55.4	84.0	40.3	5.9	48.1	0	25.6	2.46	85.6
55	09/05/2021 4:31:59	150.0	1.8	183.6	48.3	75.2	37.3	2.3	41.6	0	24.5	2.79	81.11
56	09/05/2021 4:32:2	150.0	2.0	175.0	49.9	78.5	37.1	3.7	42.9	0	24.3	2.48	82.71
57	09/05/2021 4:32:5	150.1	1.9	184.7	46.1	75.8	38.5	2.4	42.9	0	24.6	2.65	81.11
58	09/05/2021 4:32:8	150.1	1.8	171.6	55.0	82.4	41.4	5.3	48.8	0	24.7	2.69	84.95
59	09/05/2021 4:32:11	150.2	2.3	176.5	44.2	70.5	41.4	3.2	46.5	0	23.4	2.07	81.78
60	09/05/2021 4:32:14	149.9	2.1	177.2	48.3	77.0	35.8	3.9	41.7	0	24.3	2.37	82.73
61	09/05/2021 4:32:17	150.0	2.2	182.3	46.9	74.9	44.2	3.9	50.1	0	24.6	2.29	82.67
62	09/05/2021 4:32:20	150.1	1.7	172.9	49.0	75.0	40.9	4.3	47.1	0	23.4	2.82	83.18
63	09/05/2021 4:32:23	150.0	1.9	167.4	51.1	78.4	42.6	3.6	48.3	0	23.6	2.52	82.71
64	09/05/2021 4:32:26	150.2	2.2	182.6	53.7	79.4	43.8	3.9	49.8	0	25.8	2.23	83.24
65	09/05/2021 4:32:29	150.0	1.7	176.4	58.3	85.2	39.5	3.6	45.1	0	25.7	2.85	83.2
66	09/05/2021 4:32:32	149.8	2.1	180.8	50.6	80.3	35.6	2.9	40.5	0	25.3	2.3	81.89
67	09/05/2021 4:32:35	150.0	2.2	184.3	48.5	75.5	42.5	4.9	49.4	0	25.0	2.24	83.75
68	09/05/2021 4:32:38	150.0	2.1	194.4	53.7	82.1	42.1	2.8	47.0	0	27.1	2.53	81.99
69	09/05/2021 4:32:41	150.0	2.0	171.8	50.6	75.6	41.5	3.7	47.1	0	23.8	2.38	82.69
