VarName	Date	Run number	env_humidity	env_temp	tf_temp1	tf_temp2	tf_temp3	cylinder1_temp	cylinder2_temp	speed	ir_phase_angle	Pressure	active_power_p1	active_power_p2	active_power_p3	total_active_power	Humidity	Weight after drying	Drying time	CA_absorbed	Burnt	Shrinkage	1/speed	set_cylinder1_temp	set_cylinder2_temp
22156	22/10/2019 15:44:48	1	41.8	25.93	46.31	75.08	91.67	172.2	174.8	2.2	17875	2.0	304.95	6335.75	3203.31	9844.01	0.16	16.82	0.0	0.7593052595	0.0	-69.0	0.45454545454545453	175	175
22157	22/10/2019 15:44:53	1	41.8	25.93	46.88	78.6	102.53	172.2	174.5	2.2	17875	2.0	290.49	6346.27	3205.94	9842.7	0.16	16.82	0.0	0.7593052595	0.0	-69.0	0.45454545454545453	175	175
22158	22/10/2019 15:44:58	1	41.9	25.93	47.49	76.92	97.44	172.9	174.2	2.2	17875	2.0	308.89	6348.9	3213.83	9871.619999999999	0.16	16.82	0.0	0.7593052595	0.0	-69.0	0.45454545454545453	175	175
22159	22/10/2019 15:45:03	1	41.9	25.93	49.14	70.88	93.2	172.9	174.2	2.2	17875	2.0	291.8	6347.58	3199.37	9838.75	0.16	16.82	0.0	0.7593052595	0.0	-69.0	0.45454545454545453	175	175
22160	22/10/2019 15:45:09	1	41.7	25.93	50.42	68.88	90.18	173.8	173.8	2.2	17875	2.0	297.06	6339.69	3203.31	9840.06	0.16	16.82	0.0	0.7593052595	0.0	-69.0	0.45454545454545453	175	175
22161	22/10/2019 15:45:14	1	41.8	25.93	51.67	67.83	91.47	174.7	173.8	2.2	17875	2.0	312.83	6352.84	3198.05	9863.720000000001	0.16	16.82	0.0	0.7593052595	0.0	-69.0	0.45454545454545453	175	175
22162	22/10/2019 15:45:19	1	41.8	25.93	52.63	67.24	94.19	174.7	173.5	2.2	17875	2.0	304.95	6347.58	3250.63	9903.16	0.16	16.82	0.0	0.7593052595	0.0	-69.0	0.45454545454545453	175	175
22163	22/10/2019 15:45:24	1	41.8	25.93	53.39	65.89	93.67	175.3	173.5	2.2	17875	2.0	315.46	6348.9	3246.69	9911.05	0.16	16.82	0.0	0.7593052595	0.0	-69.0	0.45454545454545453	175	175
22164	22/10/2019 15:45:29	1	41.8	25.93	54.23	65.25	95.74	175.3	173.1	2.2	17875	2.0	318.09	6352.84	3242.75	9913.68	0.16	16.82	0.0	0.7593052595	0.0	-69.0	0.45454545454545453	175	175
22165	22/10/2019 15:45:34	1	41.8	25.93	54.74	65.12	99.19	176.3	173.1	2.2	17875	2.0	314.15	3451.85	4739.91	8505.91	0.16	16.82	0.0	0.7593052595	0.0	-69.0	0.45454545454545453	175	175
